,album,artists,duration_ms,id,name,popularity,artist_id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
50,"{'album_type': 'single', 'name': 'Dominos', 'release_date': '2019-11-01', 'total_tracks': 1, 'uri': 'spotify:album:3tbvmhfb7ejTwiTU8DOsjW'}",Northeast Party House,221486,0jlO3IWUXvPDmxVUkNZvU6,Dominos,31,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.821,0.615,0,-5.922,1,0.0524,0.000631,0.772,0.151,0.732,124.002
51,"{'album_type': 'album', 'name': 'Permanent Vacation', 'release_date': '2017-10-13', 'total_tracks': 13, 'uri': 'spotify:album:5YlzKbkGoIIFnBOnYwU3kl'}",Lime Cordiale,170726,3bAekCbm7788s6Agmx7oKi,What Is Growing Up?,41,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.528,0.521,6,-7.48,1,0.088,0.473,4.66e-05,0.107,0.522,67.666
52,"{'album_type': 'album', 'name': ""Story's Start or End"", 'release_date': '2019-08-09', 'total_tracks': 13, 'uri': 'spotify:album:7JZNSrBxkP5hxxIYfaixsI'}",SAFIA,268000,3bN2xsoz1R9c82XTFYTiMA,Story's Start or End,17,1y07gMlsfAdz2KOvZzyUTB,['australian indie'],0.836,0.668,0,-4.063,1,0.0338,0.00964,0.00617,0.101,0.768,115.0
53,"{'album_type': 'album', 'name': 'Diplomatic Immunity', 'release_date': '2016-11-04', 'total_tracks': 11, 'uri': 'spotify:album:6bVfL15vIzZ2z3inq48yIY'}",Client Liaison,275543,5a1P1cg7sguMXIfir9UMEu,Off White Limousine,0,5TjlxSJvfrD5I2PWaEh4jZ,['australian indie'],0.799,0.441,7,-7.613,1,0.0566,0.0554,0.0172,0.273,0.608,108.018
54,"{'album_type': 'album', 'name': 'Any Given Weekend', 'release_date': '2014-05-16', 'total_tracks': 10, 'uri': 'spotify:album:7hneBMZk8fkf0fQ4eO1Vq9'}",Northeast Party House,241323,1MGjd4nuHMHHVk1yATbZqT,Any Given Weekend,0,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.588,0.968,6,-3.029,1,0.0432,0.00086,7.94e-06,0.246,0.69,122.999
55,"{'album_type': 'single', 'name': 'Champagne Affection', 'release_date': '2019-11-29', 'total_tracks': 1, 'uri': 'spotify:album:4b4UT70OLamcHX91Om0F4O'}",Client Liaison,228973,5reUpAmA1f62EVf5jRHbwP,Champagne Affection,28,5TjlxSJvfrD5I2PWaEh4jZ,['australian indie'],0.728,0.82,8,-6.047,0,0.0489,0.0329,0.00416,0.307,0.529,104.995
56,"{'album_type': 'single', 'name': 'Does It Make You Feel Good?', 'release_date': '2019-11-18', 'total_tracks': 2, 'uri': 'spotify:album:5TS3pjPpyDTPhIxqyJTXVj'}",Confidence Man,290666,0a0yCnEdCBQzD3Ll1XhU80,Does It Make You Feel Good?,48,0RwXnFrEoI8tltFvYpJgP6,['australian electropop'],0.756,0.657,11,-7.596,0,0.0357,0.000923,0.000261,0.13,0.85,124.984
57,"{'album_type': 'single', 'name': 'Live in Life', 'release_date': '2019-11-14', 'total_tracks': 1, 'uri': 'spotify:album:68PBw05kwtOajT9X8uIerJ'}",The Rubens,216447,4ymwtZYIO8jeOeKmUzLH8O,Live in Life,25,2hrWpLNoJcs1EnWSXvB6JI,['australian indie'],0.695,0.691,5,-4.73,0,0.0351,0.147,2.21e-06,0.152,0.563,104.015
58,"{'album_type': 'single', 'name': 'Paradise', 'release_date': '2019-10-11', 'total_tracks': 1, 'uri': 'spotify:album:5g5BN0ukd7n4S6QW9qmxDt'}",Golden Features,215253,2xbh5NWAm6zjfeZg3yrwbO,Paradise,53,2SrWifjYv7b5tR8EzEmn1x,['industrial pop'],0.713,0.703,11,-9.452,0,0.0501,0.493,0.555,0.134,0.203,120.01
59,"{'album_type': 'single', 'name': 'Lost In Yesterday', 'release_date': '2020-01-08', 'total_tracks': 1, 'uri': 'spotify:album:6KJKA9j7EE8xlpizKGGjvE'}",Tame Impala,249586,3eoNUm0LU9hATVVi9w4fM6,Lost In Yesterday,0,5INjqkS1o8h1imAzPqGZBb,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059
60,"{'album_type': 'single', 'name': 'Sending Me Ur Loving', 'release_date': '2020-01-17', 'total_tracks': 1, 'uri': 'spotify:album:4JUcT1r5eSr0B8jhuibVJ1'}",The Jungle Giants,253940,1QwhWld3yDy65MJCeBelCp,Sending Me Ur Loving,55,6wFwvxJkurQPU2UdeD4qVt,['australian indie'],0.733,0.583,9,-7.437,0,0.0347,0.00133,0.00441,0.0814,0.62,123.006
61,"{'album_type': 'single', 'name': 'Shelf Life', 'release_date': '2020-01-21', 'total_tracks': 3, 'uri': 'spotify:album:2clNSzu5LTteUuUGHJP4fB'}",Northeast Party House,291653,06Rrhcwq9qBN5RJKpdM0kY,Shelf Life,0,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.707,0.869,10,-6.918,0,0.0408,0.000166,0.552,0.112,0.118,127.014
62,"{'album_type': 'album', 'name': 'Surrender', 'release_date': '2019-02-01', 'total_tracks': 16, 'uri': 'spotify:album:45uZ5X6Vx5m2hJXZeE2pTD'}",Set Mo,207731,29rCL9v87ccu8LWmFBUPMi,Stuck,0,2rv8IrcIQiFKkdvQAgUTZj,['aussietronica'],0.714,0.808,5,-7.002,0,0.0398,0.0201,0.00543,0.077,0.473,119.161
63,"{'album_type': 'single', 'name': 'Good for You', 'release_date': '2019-08-15', 'total_tracks': 1, 'uri': 'spotify:album:1zNLIRhzDNXzEAahx5sgSD'}",Spacey Jane,174760,50ODnqSpPJxnF7ECTdZJRy,Good for You,0,6V70yeZQCoSR2M3fyW8qiA,"['australian indie rock', 'australian surf rock', 'fremantle indie', 'perth indie']",0.436,0.896,0,-4.736,1,0.0384,5.54e-05,0.00995,0.165,0.933,174.962
64,"{'album_type': 'single', 'name': 'Afterthought', 'release_date': '2018-11-14', 'total_tracks': 1, 'uri': 'spotify:album:4rPYkfNpV3i6CoO5d1PSk7'}",Slum Sociable,226945,6DKLYVa951309xN1LBBkpu,Afterthought,0,0J626PVezyRujeAfXAssnH,['australian indie'],0.609,0.829,9,-4.28,0,0.033,0.00524,2.21e-05,0.132,0.586,116.017
65,"{'album_type': 'single', 'name': 'Addicted to the Sunshine', 'release_date': '2020-01-31', 'total_tracks': 1, 'uri': 'spotify:album:0XU3RVlRPmguNHy6tXMFoz'}",Lime Cordiale,270837,5ppBE5KFTiTx7JoHQAzr5O,Addicted to the Sunshine,40,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.671,0.622,0,-9.551,1,0.0289,0.0501,2.95e-05,0.326,0.909,125.999
66,"{'album_type': 'album', 'name': 'Surrender', 'release_date': '2019-02-01', 'total_tracks': 16, 'uri': 'spotify:album:45uZ5X6Vx5m2hJXZeE2pTD'}",Set Mo,182950,7yhTeDtf0cYKac3rIO9bgG,Nightmares,0,2rv8IrcIQiFKkdvQAgUTZj,['aussietronica'],0.746,0.856,9,-6.634,0,0.0391,0.0202,0.0884,0.141,0.237,122.015
67,"{'album_type': 'single', 'name': 'Awkward', 'release_date': '2011-09-30', 'total_tracks': 1, 'uri': 'spotify:album:6lkDllJCsavtd5vFd7ddue'}",San Cisco,155640,5QkwbUdIcUIu3eyCkDxUv6,Awkward,52,0Ou0138wEd8XWebhc4j7O0,"['australian indie', 'fremantle indie', 'metropopolis', 'perth indie']",0.573,0.876,1,-5.699,0,0.102,0.0362,0.0,0.095,0.895,161.888
68,"{'album_type': 'single', 'name': 'See Right Through Me', 'release_date': '2016-09-30', 'total_tracks': 2, 'uri': 'spotify:album:52VwVXZGHhE1e62S109wvf'}",Set Mo,239000,0ukqcQFfM9Bb7NnvCNZ8h5,See Right Through Me,39,2rv8IrcIQiFKkdvQAgUTZj,['aussietronica'],0.753,0.697,4,-6.26,0,0.0334,0.139,0.00707,0.0955,0.408,115.01
69,"{'album_type': 'single', 'name': 'Reasons', 'release_date': '2020-02-13', 'total_tracks': 1, 'uri': 'spotify:album:1TN4cIHTeLAoL0z2swkuMO'}",San Cisco,192298,0zM6ULyWn3u7ur5t7GkDZT,Reasons,36,0Ou0138wEd8XWebhc4j7O0,"['australian indie', 'fremantle indie', 'metropopolis', 'perth indie']",0.611,0.78,4,-3.672,0,0.0439,0.0913,0.0,0.209,0.315,125.01
70,"{'album_type': 'single', 'name': 'The Desert', 'release_date': '2020-02-21', 'total_tracks': 4, 'uri': 'spotify:album:1DCFTUJGhMfDIv46DZLpoy'}",Northeast Party House,244373,0GvgLVMNCgGXe0Ra9b0K1D,The Desert,0,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.721,0.669,1,-6.052,1,0.0456,0.00124,0.141,0.496,0.437,114.001
71,"{'album_type': 'album', 'name': 'Surrender', 'release_date': '2019-02-01', 'total_tracks': 16, 'uri': 'spotify:album:45uZ5X6Vx5m2hJXZeE2pTD'}",Set Mo,181967,1ij8FR87kzWHdSgjhNDiSd,Fault Lines,0,2rv8IrcIQiFKkdvQAgUTZj,['aussietronica'],0.662,0.676,3,-5.514,0,0.0291,0.0588,7.62e-05,0.216,0.419,106.032
72,"{'album_type': 'album', 'name': 'This Is Our Vice', 'release_date': '2016-03-04', 'total_tracks': 13, 'uri': 'spotify:album:1Sx23MziCsG194ibSs4Syb'}",Cub Sport,203641,35esL6crd33KHmrpVFHFj4,Come On Mess Me Up,57,6vqMDhoigg5btfdPsPTVFt,"['australian indie', 'australian indie rock', 'brisbane indie']",0.326,0.599,4,-5.595,1,0.0338,0.0512,6.62e-06,0.145,0.0387,149.919
73,"{'album_type': 'album', 'name': 'Puddinghead', 'release_date': '2014-04-04', 'total_tracks': 11, 'uri': 'spotify:album:4MF7McyhJT0z7Ce0RuO0Yz'}",Ball Park Music,225800,60UQUTjx171U16a2tijPZB,She Only Loves Me When I'm There,0,1ououJVWgWsHWMYDLvT7sH,"['australian indie', 'brisbane indie']",0.567,0.692,4,-5.467,1,0.0563,0.0216,2.75e-06,0.11,0.156,122.0
74,"{'album_type': 'album', 'name': 'Shelf Life', 'release_date': '2020-02-28', 'total_tracks': 10, 'uri': 'spotify:album:1MuRNoPRyJ5ylxa7h3D8Nm'}",Northeast Party House,229000,7hY5buVsRhay7hB83BqM8M,American Diamond,21,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.7,0.473,4,-7.33,0,0.0348,0.0202,0.166,0.143,0.308,122.996
75,"{'album_type': 'single', 'name': 'Heavy Weather', 'release_date': '2020-04-22', 'total_tracks': 1, 'uri': 'spotify:album:4uW8RDDvgSoVqcj0QCru34'}",The Rubens,205096,6O1jOgSwNKJTnGUwFMfTcC,Heavy Weather,31,2hrWpLNoJcs1EnWSXvB6JI,['australian indie'],0.623,0.89,8,-3.703,0,0.0372,0.344,0.0,0.22,0.71,89.988
76,"{'album_type': 'single', 'name': 'Lucky', 'release_date': '2020-05-20', 'total_tracks': 1, 'uri': 'spotify:album:29hQOfDBBJ2kIVXy5nI0FX'}",PNAU,205703,0Quhzm1B1Z9I5S9RP6BgLh,Lucky,44,6n28c9qs9hNGriNa72b26u,"['alternative dance', 'aussietronica', 'australian dance', 'australian electropop']",0.585,0.956,0,-3.577,1,0.0564,0.0285,0.0,0.213,0.593,120.004
77,"{'album_type': 'single', 'name': 'On The Line', 'release_date': '2020-05-22', 'total_tracks': 1, 'uri': 'spotify:album:0leojPM1AmDhBoY9s2Ut8H'}",San Cisco,300657,4ztnd2IahPRr3wk9FPwiGV,On The Line,32,0Ou0138wEd8XWebhc4j7O0,"['australian indie', 'fremantle indie', 'metropopolis', 'perth indie']",0.64,0.863,0,-4.547,1,0.031,0.0333,0.00148,0.146,0.653,131.073
78,"{'album_type': 'single', 'name': 'Screw Loose', 'release_date': '2020-07-03', 'total_tracks': 1, 'uri': 'spotify:album:3zn4WSeNbrVupnVmoRYNj8'}",Lime Cordiale,254405,7dp10RH9vHZw35hbXmJOps,Screw Loose,38,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.657,0.559,5,-8.176,1,0.0452,0.0185,0.002,0.147,0.562,151.871
79,"{'album_type': 'album', 'name': 'Shelf Life', 'release_date': '2020-02-28', 'total_tracks': 10, 'uri': 'spotify:album:1MuRNoPRyJ5ylxa7h3D8Nm'}",Northeast Party House,241880,6HJA2j5VpVg3pwCKrbep03,Take Tomorrow Faster,33,500YRyClzP6Z7HtWd1BIje,['australian indie'],0.705,0.715,8,-7.831,1,0.0365,0.0453,0.515,0.0688,0.396,126.027
80,"{'album_type': 'album', 'name': 'Atlas', 'release_date': '2013-08-09', 'total_tracks': 11, 'uri': 'spotify:album:6XrWjze1dWVVpSXeUOroZT'}",RÜFÜS DU SOL,242000,21EmgHgjTjFeSyDjCnPZcp,Take Me,22,5Pb27ujIyYb33zBqVysBkj,"['australian electropop', 'indietronica']",0.72,0.781,0,-7.379,1,0.0479,0.166,0.0377,0.0966,0.488,124.036
81,"{'album_type': 'single', 'name': 'Free Of Fear', 'release_date': '2014-01-29', 'total_tracks': 5, 'uri': 'spotify:album:1Qq33y7MjHXddw9rfCFTe8'}",Client Liaison,278732,4Fhr4xXkEzYF4bA9g679E4,That's Desire,22,5TjlxSJvfrD5I2PWaEh4jZ,['australian indie'],0.754,0.873,4,-4.139,0,0.0479,0.00374,0.19,0.0897,0.913,125.999
82,"{'album_type': 'album', 'name': 'SECT', 'release_date': '2018-07-27', 'total_tracks': 10, 'uri': 'spotify:album:6QNW51i8oddn1iN4PgQnzA'}",Golden Features,220590,2zDdinauXLATZMeyk4WnTR,Falling Out,51,2SrWifjYv7b5tR8EzEmn1x,['industrial pop'],0.678,0.492,4,-8.614,0,0.052,0.335,0.000541,0.538,0.351,117.977
83,"{'album_type': 'album', 'name': 'THE GLOW', 'release_date': '2020-07-10', 'total_tracks': 11, 'uri': 'spotify:album:0bNiJMfkYVwLKP623wRN06'}",DMA'S,256106,2OUHleXIPcB5WkQvFcpzsa,Life Is A Game Of Changing,31,1iUTUix5kea176M0uJTsh4,"['australian indie', 'australian surf rock']",0.505,0.931,9,-5.652,1,0.0563,0.0005,0.0086,0.329,0.399,130.031
84,"{'album_type': 'album', 'name': 'Atlas', 'release_date': '2013-08-09', 'total_tracks': 11, 'uri': 'spotify:album:6XrWjze1dWVVpSXeUOroZT'}",RÜFÜS DU SOL,269375,73tvKxFOfdYmRvswnDeWjT,Unforgiven,18,5Pb27ujIyYb33zBqVysBkj,"['australian electropop', 'indietronica']",0.663,0.619,9,-7.48,0,0.0327,0.111,0.232,0.0883,0.318,119.972
85,"{'album_type': 'single', 'name': 'Is It True', 'release_date': '2020-08-06', 'total_tracks': 1, 'uri': 'spotify:album:5qoQcwi2NBG3yyAhtV8BRx'}",Tame Impala,239266,6dwMb0TRWRmHQje1H5iSzY,Is It True,0,5INjqkS1o8h1imAzPqGZBb,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",0.731,0.664,0,-5.474,1,0.0302,0.00309,0.35,0.133,0.661,118.019
86,"{'album_type': 'album', 'name': 'Atlas (Light / Dark Deluxe Edition)', 'release_date': '2013', 'total_tracks': 23, 'uri': 'spotify:album:3HZKPiOGyFqmLvehf77H47'}",RÜFÜS DU SOL,275493,0PHWXLXOQXGlyUGq7woVFZ,Sundream,67,5Pb27ujIyYb33zBqVysBkj,"['australian electropop', 'indietronica']",0.686,0.712,5,-7.58,0,0.0383,0.049,0.0042,0.368,0.247,121.966
87,"{'album_type': 'single', 'name': 'Love Language', 'release_date': '2020-08-28', 'total_tracks': 1, 'uri': 'spotify:album:6aGXPQFm5ZGZYqz1ClG6tx'}",Crooked Colours,198961,43Q412QJxCshzh9oIjLgEF,Love Language,42,0aA1GTrIMutjIh4GlPPUVN,['vapor soul'],0.795,0.574,5,-8.202,0,0.0474,0.0313,0.00789,0.0998,0.318,118.989
88,"{'album_type': 'single', 'name': 'When I Dream', 'release_date': '2018-09-07', 'total_tracks': 1, 'uri': 'spotify:album:39YxgTFlrzRt0w5cU0WHez'}",San Cisco,190472,579j0QRchEajNo11kaaAUx,When I Dream,42,0Ou0138wEd8XWebhc4j7O0,"['australian indie', 'fremantle indie', 'metropopolis', 'perth indie']",0.666,0.827,6,-6.618,0,0.0301,0.0598,0.0,0.27,0.899,122.979
89,"{'album_type': 'album', 'name': '14 Steps To A Better You (Relapse)', 'release_date': '2020-11-13', 'total_tracks': 20, 'uri': 'spotify:album:02aNr9b6HXJKMT4dtcm2aG'}",Lime Cordiale,215719,3tpFmrGk0cmUy4ldBr3fK5,Ticks Me Off,39,6yrtCy4XJHXM6tczo4RlTs,['australian surf rock'],0.781,0.56,2,-8.742,1,0.039,0.0011,0.0644,0.192,0.964,138.024
90,"{'album_type': 'single', 'name': 'Falling', 'release_date': '2020-11-13', 'total_tracks': 2, 'uri': 'spotify:album:3PkOQ5jhbCAavcVUT8TgPf'}",Crooked Colours,202433,6bdfM4I40ywx2gOtZjQ7Z6,Falling,32,0aA1GTrIMutjIh4GlPPUVN,['vapor soul'],0.759,0.634,8,-8.959,1,0.0383,0.033,0.289,0.106,0.145,120.019
91,"{'album_type': 'single', 'name': 'Good Karma Lover', 'release_date': '2020-11-12', 'total_tracks': 1, 'uri': 'spotify:album:6GuORgBRkXYPIHWJvnbqgU'}",Vlossom,180884,7B5VSphXg2EekKkiGHXs7P,Good Karma Lover,33,6fchbydDZlEemGC9wiovuj,['australian electropop'],0.74,0.817,8,-3.296,1,0.0692,0.00466,0.000413,0.241,0.598,119.985
92,"{'album_type': 'single', 'name': ""You're In My Head"", 'release_date': '2020-11-12', 'total_tracks': 2, 'uri': 'spotify:album:2OynP38kAonMgKXmTVL5DX'}",Slum Sociable,207151,136dz3do7g7F61AoQRoxNc,You're In My Head,9,0J626PVezyRujeAfXAssnH,['australian indie'],0.666,0.94,4,-4.871,0,0.0965,0.0767,5.88e-06,0.351,0.866,109.98
93,"{'album_type': 'single', 'name': 'In Her Eyes', 'release_date': '2020-11-17', 'total_tracks': 1, 'uri': 'spotify:album:3R5YCyAaqLEI3UOT38l5ik'}",The Jungle Giants,174401,4JtbUXLuBb8C7q1x7B54ZY,In Her Eyes,44,6wFwvxJkurQPU2UdeD4qVt,['australian indie'],0.89,0.505,11,-3.106,0,0.0481,0.00373,0.438,0.0474,0.94,119.011
94,"{'album_type': 'album', 'name': 'Down To Earth', 'release_date': '2014-10-24', 'total_tracks': 14, 'uri': 'spotify:album:4DqcEZbWf8L1AOYxvDj4He'}",Flight Facilities,259383,7cqXIXlGDslSr5AFjdzaaW,Stand Still,44,1lc8mnyGrCLtPhCoWjRxjM,"['aussietronica', 'australian dance', 'australian indie', 'indietronica', 'nu disco']",0.649,0.736,11,-8.252,0,0.0433,0.0314,0.0322,0.128,0.923,169.98
95,"{'album_type': 'single', 'name': 'River', 'release_date': '2020-12-11', 'total_tracks': 1, 'uri': 'spotify:album:2BwhZaYdOd12lBFPATDOpl'}",PNAU,200503,6vyYiUliVaGVnv5nDnM93F,River,44,6n28c9qs9hNGriNa72b26u,"['alternative dance', 'aussietronica', 'australian dance', 'australian electropop']",0.83,0.9,6,-2.307,0,0.0948,0.0103,6.1e-06,0.332,0.758,116.974
96,"{'album_type': 'single', 'name': 'Juno', 'release_date': '2021-01-15', 'total_tracks': 2, 'uri': 'spotify:album:3FBUS7cN4X3QYo0H6iSxXe'}",Running Touch,183276,3hdJpYy4oLf2wI920Dsq4D,Juno,36,5bdwzvp6eirvqh0TwOwjgE,['aussietronica'],0.711,0.831,11,-6.004,1,0.0396,0.0282,0.16,0.0922,0.545,120.003
97,"{'album_type': 'single', 'name': 'Yesteryear', 'release_date': '2020-06-11', 'total_tracks': 1, 'uri': 'spotify:album:4ec8RXuBUknXHrkjpeNNdl'}",Cosmo's Midnight,219795,0u8AnQEMd9W6fDG2UbFjyz,Yesteryear,44,4VivsO1n4n2Mi2Btyb5gfL,"['australian dance', 'indie dream pop', 'indie soul']",0.682,0.815,2,-5.747,1,0.0656,0.107,0.000659,0.114,0.867,113.04
98,"{'album_type': 'single', 'name': 'Muddy Evil Pain', 'release_date': '2021-01-27', 'total_tracks': 5, 'uri': 'spotify:album:6ofvhxicFBq8VE6IQHApJw'}",The Rubens,216880,63mQ5xtQEr5fM6nF2E3aE1,Masterpiece,17,2hrWpLNoJcs1EnWSXvB6JI,['australian indie'],0.596,0.895,6,-3.813,1,0.0518,0.55,0.0,0.15,0.578,105.048
99,"{'album_type': 'single', 'name': 'Treat You Right', 'release_date': '2021-04-29', 'total_tracks': 1, 'uri': 'spotify:album:4A5ujUcjBtJpi59ul0NZyH'}",The Jungle Giants,221466,5Dv6S0ds5gRUlmUV0kONEL,Treat You Right,35,6wFwvxJkurQPU2UdeD4qVt,['australian indie'],0.664,0.759,9,-4.926,0,0.0428,0.0169,0.0025,0.179,0.771,160.023
