,album,artists,duration_ms,id,name,popularity,artist_id
0,"{'album_type': 'album', 'name': 'Dare', 'release_date': '2016-09-09', 'total_tracks': 10, 'uri': 'spotify:album:6A0wlnsc6rjAi8RSnXNxOR'}",Northeast Party House,233169,3U0obDja5mKtcqPJdWEku3,Calypso Beach,0,500YRyClzP6Z7HtWd1BIje
1,"{'album_type': 'album', 'name': 'Quiet Ferocity', 'release_date': '2017-07-07', 'total_tracks': 10, 'uri': 'spotify:album:0RSKnjggldZx2NrKSOD913'}",The Jungle Giants,271840,6lVhkY4iqf1GF5z6lu3mlp,Bad Dream,52,6wFwvxJkurQPU2UdeD4qVt
2,"{'album_type': 'album', 'name': 'Dare', 'release_date': '2016-09-09', 'total_tracks': 10, 'uri': 'spotify:album:6A0wlnsc6rjAi8RSnXNxOR'}",Northeast Party House,256052,169C3YdZTSIHQYEiLOnhLv,For You,0,500YRyClzP6Z7HtWd1BIje
3,"{'album_type': 'single', 'name': 'Money', 'release_date': '2019-02-01', 'total_tracks': 1, 'uri': 'spotify:album:0I2PCfEg6gVwLrzo4pqetY'}",Lime Cordiale,238180,3TagnFgHBtDptVaDGuzH3a,Money,45,6yrtCy4XJHXM6tczo4RlTs
4,"{'album_type': 'album', 'name': 'Any Given Weekend', 'release_date': '2014-05-16', 'total_tracks': 10, 'uri': 'spotify:album:7hneBMZk8fkf0fQ4eO1Vq9'}",Northeast Party House,248418,398LeBTx6SFocnICsrMdFW,The Haunted,0,500YRyClzP6Z7HtWd1BIje
5,"{'album_type': 'album', 'name': 'Quiet Ferocity', 'release_date': '2017-07-07', 'total_tracks': 10, 'uri': 'spotify:album:0RSKnjggldZx2NrKSOD913'}",The Jungle Giants,222786,290xSzR8Ee9fm82poMg4od,Used to Be in Love,66,6wFwvxJkurQPU2UdeD4qVt
6,"{'album_type': 'single', 'name': 'Do It Like You', 'release_date': '2018-11-01', 'total_tracks': 1, 'uri': 'spotify:album:4PKH86wn7Gw4iel2WD564k'}",Crooked Colours,190624,5h1Gi50T9QxVfzvIF8vciC,Do It Like You,40,0aA1GTrIMutjIh4GlPPUVN
7,"{'album_type': 'single', 'name': 'Not That Easy', 'release_date': '2015-10-09', 'total_tracks': 1, 'uri': 'spotify:album:1pGCIXJQu3aPDDwAZk9sR3'}",Lime Cordiale,221333,6InKbhfioifh4w1IhOIXmJ,Not That Easy,54,6yrtCy4XJHXM6tczo4RlTs
8,"{'album_type': 'single', 'name': 'Client Liaison', 'release_date': '2014-09-05', 'total_tracks': 6, 'uri': 'spotify:album:4hVgANBVAWqCK6MoDTdZcv'}",Client Liaison,242785,2feaQfOvwyW5nP1biWHCPN,Pretty Lovers,0,5TjlxSJvfrD5I2PWaEh4jZ
9,"{'album_type': 'album', 'name': 'Permanent Vacation', 'release_date': '2017-10-13', 'total_tracks': 13, 'uri': 'spotify:album:5YlzKbkGoIIFnBOnYwU3kl'}",Lime Cordiale,227102,2GgheTnANGaxrgZ5oLMK3x,Up In The Air,38,6yrtCy4XJHXM6tczo4RlTs
10,"{'album_type': 'album', 'name': 'Diplomatic Immunity', 'release_date': '2016-11-04', 'total_tracks': 11, 'uri': 'spotify:album:6bVfL15vIzZ2z3inq48yIY'}",Client Liaison,322766,4VDCrRKNwWJ6Rk3vkqRGL0,Canberra Won't Be Calling Tonight,0,5TjlxSJvfrD5I2PWaEh4jZ
11,"{'album_type': 'single', 'name': 'Arty Boy', 'release_date': '2017-06-21', 'total_tracks': 1, 'uri': 'spotify:album:3YdSyYST26gzK4Ughdiyzg'}",Flight Facilities,232188,1qmMkomyEV6TRbYHuS6ZdM,Arty Boy,0,1lc8mnyGrCLtPhCoWjRxjM
12,"{'album_type': 'album', 'name': 'Diplomatic Immunity', 'release_date': '2016-11-04', 'total_tracks': 11, 'uri': 'spotify:album:6bVfL15vIzZ2z3inq48yIY'}",Client Liaison,276992,5mj9qMqjg5qWhbt44f09nY,Wild Life,0,5TjlxSJvfrD5I2PWaEh4jZ
13,"{'album_type': 'single', 'name': 'Need You', 'release_date': '2018-02-28', 'total_tracks': 1, 'uri': 'spotify:album:0KyCRAvPQ5t4nPmdHI1PLx'}",Flight Facilities,200525,3EBHcU11daLLlDIUc6jHfB,Need You,0,1lc8mnyGrCLtPhCoWjRxjM
14,"{'album_type': 'single', 'name': 'Inappropriate Behaviour', 'release_date': '2019-05-17', 'total_tracks': 1, 'uri': 'spotify:album:5ba8H8cdgeBRItvryKyzoY'}",Lime Cordiale,253066,0Ma58HrmhNi0UrOCnAXXBt,Inappropriate Behaviour,48,6yrtCy4XJHXM6tczo4RlTs
15,"{'album_type': 'album', 'name': 'Quiet Ferocity', 'release_date': '2017-07-07', 'total_tracks': 10, 'uri': 'spotify:album:0RSKnjggldZx2NrKSOD913'}",The Jungle Giants,205146,0TVwMTKyuSp41ytctKTA3T,Feel the Way I Do,59,6wFwvxJkurQPU2UdeD4qVt
16,"{'album_type': 'single', 'name': 'Solid Gold', 'release_date': '2019-05-01', 'total_tracks': 1, 'uri': 'spotify:album:3g0mfsWlOOUNheV5L3kQKs'}",PNAU,208367,7DQ5CZjAQdhgDgdnSXxJ7Z,Solid Gold,57,6n28c9qs9hNGriNa72b26u
17,"{'album_type': 'single', 'name': 'Heavy Hearted', 'release_date': '2019-07-08', 'total_tracks': 1, 'uri': 'spotify:album:6TqyOjnzxtdboeo8XiSYcj'}",The Jungle Giants,256581,3yXgttblOo006gd4eGOvw1,Heavy Hearted,54,6wFwvxJkurQPU2UdeD4qVt
18,"{'album_type': 'album', 'name': 'Permanent Vacation', 'release_date': '2017-10-13', 'total_tracks': 13, 'uri': 'spotify:album:5YlzKbkGoIIFnBOnYwU3kl'}",Lime Cordiale,208980,3DCU0R5FFaB9GKxZERb5wr,Temper Temper,67,6yrtCy4XJHXM6tczo4RlTs
19,"{'album_type': 'album', 'name': 'Quiet Ferocity', 'release_date': '2017-07-07', 'total_tracks': 10, 'uri': 'spotify:album:0RSKnjggldZx2NrKSOD913'}",The Jungle Giants,225000,6ECcJlfjh2F1LJxe74qKnJ,On Your Way Down,58,6wFwvxJkurQPU2UdeD4qVt
20,"{'album_type': 'single', 'name': 'Starlight', 'release_date': '2018-09-21', 'total_tracks': 1, 'uri': 'spotify:album:3oCkgF8JN5ZsxAKGZU4U1f'}",SAFIA,242747,3nqVMuqHr47plQkOn4pfu5,Starlight,35,1y07gMlsfAdz2KOvZzyUTB
21,"{'album_type': 'album', 'name': 'Parcels', 'release_date': '2018-10-12', 'total_tracks': 12, 'uri': 'spotify:album:6tNAnVG8xrmMbINuWutrNy'}",Parcels,181492,2pC4aF8VvXFapppROIALIW,Tieduprightnow,53,3oKRxpszQKUjjaHz388fVA
22,"{'album_type': 'single', 'name': 'When I’m Around You', 'release_date': '2019-02-08', 'total_tracks': 1, 'uri': 'spotify:album:3ECrboeSffBx7IYNtg1HsS'}",Running Touch,203782,2MYTYXJXUj3YeCsGfiIdRq,When I'm Around You,57,5bdwzvp6eirvqh0TwOwjgE
23,"{'album_type': 'album', 'name': 'Cub Sport', 'release_date': '2019-01-18', 'total_tracks': 15, 'uri': 'spotify:album:4Hm95VjwQJOKi5z4GIExhI'}",Cub Sport,153685,2sqpbFR2bFI9nyJS5hqax1,Sometimes,47,6vqMDhoigg5btfdPsPTVFt
24,"{'album_type': 'single', 'name': 'The Real Thing', 'release_date': '2019-08-01', 'total_tracks': 1, 'uri': 'spotify:album:2hCrrOI0a8vDkTLjyHfwNF'}",Client Liaison,268508,2lKYeA3NUMNtMSZUlqlwye,The Real Thing,39,5TjlxSJvfrD5I2PWaEh4jZ
25,"{'album_type': 'single', 'name': 'Older', 'release_date': '2016-11-25', 'total_tracks': 1, 'uri': 'spotify:album:1W9LBC7i9su2Q5ioA1jf7f'}",Parcels,207192,0bkNJm3BcQyHpytMI7a3TX,Older,0,3oKRxpszQKUjjaHz388fVA
26,"{'album_type': 'album', 'name': 'Vera', 'release_date': '2017-06-23', 'total_tracks': 10, 'uri': 'spotify:album:0nHLhtFuslOav8hdjiq8b6'}",Crooked Colours,288651,0BQ0ZzRiojTMbWeMbNw6LF,Flow,46,0aA1GTrIMutjIh4GlPPUVN
27,"{'album_type': 'album', 'name': 'Learn to Exist', 'release_date': '2013-08-30', 'total_tracks': 12, 'uri': 'spotify:album:3DWhWfiW17a3UbKhdGCyyt'}",The Jungle Giants,221493,4xy9nsO8EX4OR0c6lf0WFu,She's a Riot,63,6wFwvxJkurQPU2UdeD4qVt
28,"{'album_type': 'single', 'name': 'Borderline', 'release_date': '2019-04-12', 'total_tracks': 1, 'uri': 'spotify:album:5zGidcaAvNahQrYhyQwAQn'}",Tame Impala,274293,3O8X1DE9btbzy4UH9cSX9a,Borderline,0,5INjqkS1o8h1imAzPqGZBb
29,"{'album_type': 'album', 'name': 'Between Us', 'release_date': '2019-06-14', 'total_tracks': 11, 'uri': 'spotify:album:6mjVNuxWS73gi2nPvvtJFB'}",Hayden James,217296,0feV26ESzVptPP83N82VAO,NUMB,59,4csQIMQm6vI2A2SCVDuM2z
30,"{'album_type': 'single', 'name': 'Magnify', 'release_date': '2019-07-26', 'total_tracks': 1, 'uri': 'spotify:album:4gGoJI1QkvLOEDORELmAGX'}",Northeast Party House,214064,0X4jl7YzCThdCgYT9Enj9i,Magnify,34,500YRyClzP6Z7HtWd1BIje
31,"{'album_type': 'album', 'name': 'Internal', 'release_date': '2016-09-09', 'total_tracks': 12, 'uri': 'spotify:album:53FdGlHs0CJutvm6k1FQOe'}",SAFIA,245666,34wyGSk9mbzpLCZ1szMMfD,Make Them Wheels Roll,48,1y07gMlsfAdz2KOvZzyUTB
32,"{'album_type': 'album', 'name': 'Dare', 'release_date': '2016-09-09', 'total_tracks': 10, 'uri': 'spotify:album:6A0wlnsc6rjAi8RSnXNxOR'}",Northeast Party House,267765,1TLbwkHGgiktmxkqZTygZP,Heartbreaker,0,500YRyClzP6Z7HtWd1BIje
33,"{'album_type': 'album', 'name': 'Internal', 'release_date': '2016-09-09', 'total_tracks': 12, 'uri': 'spotify:album:53FdGlHs0CJutvm6k1FQOe'}",SAFIA,257353,3HlMawlrt0QUY1Fynv4upQ,My Love Is Gone,38,1y07gMlsfAdz2KOvZzyUTB
34,"{'album_type': 'single', 'name': 'Robbery', 'release_date': '2019-09-20', 'total_tracks': 1, 'uri': 'spotify:album:44z3Y440N9zArT55GONVBe'}",Lime Cordiale,223233,4SRtBFocTtcaWP3etJb7GK,Robbery,51,6yrtCy4XJHXM6tczo4RlTs
35,"{'album_type': 'album', 'name': 'Dare', 'release_date': '2016-09-09', 'total_tracks': 10, 'uri': 'spotify:album:6A0wlnsc6rjAi8RSnXNxOR'}",Northeast Party House,203720,1cZAvf9K3jiIgNXtwPDMru,Your House,0,500YRyClzP6Z7HtWd1BIje
36,"{'album_type': 'single', 'name': 'Hanging Upside Down', 'release_date': '2015-01-21', 'total_tracks': 1, 'uri': 'spotify:album:5SBu0wTupEiUQn0zMW1Zrk'}",Lime Cordiale,231320,37Kj037Is4AcOvj3vwzN7Z,Hanging Upside Down,55,6yrtCy4XJHXM6tczo4RlTs
37,"{'album_type': 'album', 'name': 'My Own Pool of Light', 'release_date': '2019-08-02', 'total_tracks': 12, 'uri': 'spotify:album:4u59azivupUe4l6CDbwfxf'}",Holy Holy,237080,6R36WcAtweEhKGCJQtD5GY,Maybe You Know,50,5KeQyt1QJBjcutJ2AuLNO2
38,"{'album_type': 'album', 'name': 'Shadowboxer', 'release_date': '2019-03-01', 'total_tracks': 16, 'uri': 'spotify:album:15mgFVCst3upwCnD6LjeWt'}",Mansionair,213515,5whUIe388y2VVpPri5HDUM,Violet City,32,4qOzMSukiZoiSjPQw8Zs7s
39,"{'album_type': 'album', 'name': 'My Own Pool of Light', 'release_date': '2019-08-02', 'total_tracks': 12, 'uri': 'spotify:album:4u59azivupUe4l6CDbwfxf'}",Holy Holy,205287,483bQv3IAEM9oGrhBrQeFm,Teach Me About Dying,49,5KeQyt1QJBjcutJ2AuLNO2
40,"{'album_type': 'single', 'name': 'Technicolour', 'release_date': '2018-06-28', 'total_tracks': 1, 'uri': 'spotify:album:26M5XVhb6PhNaitFwQUxmb'}",Mansionair,200199,3oIflAW8crVuSGYVGkyneC,Technicolour,0,4qOzMSukiZoiSjPQw8Zs7s
41,"{'album_type': 'album', 'name': 'Confident Music for Confident People', 'release_date': '2018-04-13', 'total_tracks': 11, 'uri': 'spotify:album:6DV4JMpsIYZNM76JwUup9I'}",Confidence Man,265280,36HozIsnm27dBj6oM0iQc5,Out the Window,33,0RwXnFrEoI8tltFvYpJgP6
42,"{'album_type': 'single', 'name': 'Falling', 'release_date': '2018-09-12', 'total_tracks': 1, 'uri': 'spotify:album:6KlXag1FmNnqNN0A6Ev2VT'}",Mansionair,203312,3WOBGmIrRHbsqOyecMvcpi,Falling,0,4qOzMSukiZoiSjPQw8Zs7s
43,"{'album_type': 'album', 'name': 'Land Of Pleasure', 'release_date': '2014-08-01', 'total_tracks': 12, 'uri': 'spotify:album:5yAEbZfVzTlk5Uwi1IWZ0O'}",Sticky Fingers,218902,6jj5kO7tFT3ir8WbbVO0iU,Gold Snafu,0,3ZGr7nQBXDU2WhyXgRVbt0
44,"{'album_type': 'album', 'name': 'Shadowboxer', 'release_date': '2019-03-01', 'total_tracks': 16, 'uri': 'spotify:album:15mgFVCst3upwCnD6LjeWt'}",Mansionair,219473,4V4Qjkzj0FBtL16imclZtR,Alibi,38,4qOzMSukiZoiSjPQw8Zs7s
45,"{'album_type': 'album', 'name': 'Internal', 'release_date': '2016-09-09', 'total_tracks': 12, 'uri': 'spotify:album:53FdGlHs0CJutvm6k1FQOe'}",SAFIA,231041,2WLsqo67AQcJzEn98NyiWu,Embracing Me,41,1y07gMlsfAdz2KOvZzyUTB
46,"{'album_type': 'single', 'name': 'Survival in the City', 'release_date': '2018-05-04', 'total_tracks': 1, 'uri': 'spotify:album:7ACsbmd4Bn67UBQL2jWCbF'}",Client Liaison,213917,2QuT7H5ldUSXaH2vLDoFF9,Survival in the City,36,5TjlxSJvfrD5I2PWaEh4jZ
47,"{'album_type': 'album', 'name': 'Paint', 'release_date': '2017-02-24', 'total_tracks': 10, 'uri': 'spotify:album:6J8EzIkd1LeP07kIF77RNz'}",Holy Holy,259964,5RHY7WkAjAhpxuPN0CTd4F,True Lovers,56,5KeQyt1QJBjcutJ2AuLNO2
48,"{'album_type': 'single', 'name': 'Dirt Cheap', 'release_date': '2018-11-02', 'total_tracks': 1, 'uri': 'spotify:album:1RY7mFDbodUZc0Evn8TgWU'}",Lime Cordiale,175126,12tS8W4qtDOiH3XSlhjE6f,Dirt Cheap,43,6yrtCy4XJHXM6tczo4RlTs
49,"{'album_type': 'album', 'name': 'Everything Is Forgotten', 'release_date': '2017-03-03', 'total_tracks': 11, 'uri': 'spotify:album:2dS7vbBMyWi2GEqDPlPyKf'}",Methyl Ethel,302786,6TAxNHUFD5nbP9pMXlONES,Ubu,0,3I3Fz1DeUY0icXFvOjbXm7
